248477940.0,168487606.0,15055154.0,18140415.0,
243010853.0,165569400.0,14796645.0,18364713.0,
243096790.0,137682692.0,14796767.0,13510925.0,
244796676.0,139490976.0,15165177.0,13693745.0,
243337512.0,139467905.0,15170532.0,13646483.0,
240728570.0,137137588.0,15018740.0,13433323.0,
240716486.0,136586565.0,14595955.0,13413327.0,
241691886.0,137671096.0,14756575.0,13467611.0,
242630116.0,137147415.0,14796767.0,13467060.0,
240440180.0,136413469.0,15074906.0,13394554.0,
